#weight  minuslogpost         A         ns        H0      omegab     omegam       DES_DzS1      DES_DzS2       DES_DzS3      DES_DzS4        DES_m1        DES_m2        DES_m3       DES_m4    DES_AIA  DES_alphaIA  omk       ombh2       omch2            As        YHe     sigma8  s8omegamp5  s8omegamp25  minuslogprior  minuslogprior__0      chi2  chi2__des_y1.shear
      1     103.81761 3.4487667  1.0284523 70.317493 0.066911215 0.26596959    0.040410492  -0.018311226  -0.0059299559   -0.02011169   0.012091622   0.067941192 -0.0037685863  0.049283926  1.6866653    2.5270297    0 0.033084583 0.098106408 3.4487667e-09 0.24902156 0.85770267  0.44233647     0.615949     -11.117625        -11.117625 229.87047           229.87047
      8     99.289358 3.4073727 0.99642652 66.615325  0.05045187 0.25878808  -0.0036873969  -0.016134316    0.016127239  -0.035897384   0.054822325   0.034966092 -0.0068896368  0.026856993  2.0815629    3.1423614    0  0.02238853 0.092165019 3.4073727e-09 0.24540616 0.87324766  0.44423172    0.6228357     -16.543919        -16.543919 231.66655           231.66655
      4     101.16415  3.084608  1.0481557 66.615325  0.05045187 0.25878808  -0.0074305802  -0.016617334   0.0042300609  0.0095610918   0.024136354   0.020390225 -0.0090556917 -0.010913763  2.4029247    3.9328936    0  0.02238853 0.092165019  3.084608e-09 0.24540616 0.84616464  0.43045425   0.60351899     -17.803418        -17.803418 237.93513           237.93513
      1     99.572252 3.2448998  1.0127207 66.615325  0.05045187 0.25878808   -0.012983358   -0.01431514    0.010567265  -0.028852722  0.0031117033   0.045684801  0.0028434598  0.042031591  2.1921816    3.8615899    0  0.02238853 0.092165019 3.2448998e-09 0.24540616 0.85703373   0.4359835   0.61127127     -17.344708        -17.344708 233.83392           233.83392
      1      102.9086 2.0646131 0.88563765 68.673793 0.032444039 0.27673641   -0.005980203  -0.035697558   0.0020208684  -0.051780701    0.06038208   0.011476567 -0.0037960752   0.04194306  2.4001082    4.7535122    0   0.0153009  0.11490622 2.0646131e-09 0.24161509 0.80929436   0.4257353   0.58697971     -14.351287        -14.351287 234.51977           234.51977
     19     102.11007 2.0549615 0.88537654 69.180348 0.032705886  0.2759776    0.005156103  -0.033052873   0.0025079043  -0.053483028   0.053496571   -0.01247578 -0.0094207869  0.040759373  2.0870949    4.7519371    0 0.015652777  0.11611915 2.0549615e-09 0.24184889 0.81118761  0.42614582   0.58794915      -14.35841         -14.35841 232.93697           232.93697
      1     105.61816 2.2194899 0.92221159 69.180348 0.032705886  0.2759776 -0.00049961556   -0.04431755   -0.020132661  -0.057817038   0.023341075  -0.032713778  -0.013418446  0.040365049  1.7920293    4.7673039    0 0.015652777  0.11611915 2.2194899e-09 0.24184889  0.8547262  0.44901819   0.61950594     -9.4765827        -9.4765827  230.1895            230.1895
      5     102.16839 2.2645207 0.92855069 69.729244 0.034207138 0.27447109   -0.018290577  -0.040138658   -0.010707799  -0.066377353   0.011021437 -0.0025644785   -0.02295303  0.028699961 0.81745225    3.9686235    0 0.016632083  0.11650668 2.2645207e-09 0.24247822 0.86131689  0.45124382   0.62342917     -12.352414        -12.352414 229.04161           229.04161
      8       105.305 2.2722609 0.91029389 69.729244 0.034207138 0.27447109     0.01178973  -0.040871878  0.00088813552  -0.076522509   0.073081315   0.038225611  -0.015312431  0.037512263  1.1515711   0.58936811    0 0.016632083  0.11650668 2.2722609e-09 0.24247822 0.85682002  0.44888791   0.62017429     -8.8592058        -8.8592058 228.32841           228.32841
      1      99.98154 3.4340564  1.0090597 68.340542 0.036402099 0.23688054    0.012470752  -0.025957705    0.013377924  -0.056927089   0.039073231   0.047664776   0.014073195   0.02300462  1.5247655     1.187179    0 0.017001344 0.093330733 3.4340564e-09  0.2427019 0.93792368  0.45649097   0.65433454     -15.744971        -15.744971 231.45302           231.45302
      2     100.58934 3.3737541 0.98899633 68.340542 0.036402099 0.23688054   0.0065720471  -0.027466404   0.0051653384  -0.030782103   0.029024347  -0.021120392   0.048708744  0.012730284  1.3162102    2.2303468    0 0.017001344 0.093330733 3.3737541e-09  0.2427019 0.92292145  0.44918932   0.64386836     -16.762243        -16.762243 234.70316           234.70316
      2     98.513158 3.2969267 0.95042319 68.340542 0.036402099 0.23688054   0.0036968454  -0.029803719  -0.0051966858  -0.050020668   0.012761879   0.041633122   0.014941758  0.029948777 0.78643181    2.3371173    0 0.017001344 0.093330733 3.2969267e-09  0.2427019 0.89991836  0.43799364   0.62782045     -16.477098        -16.477098 229.98051           229.98051
