#weight  minuslogpost         A         ns        H0      omegab     omegam      DES_DzS1      DES_DzS2      DES_DzS3      DES_DzS4         DES_m1        DES_m2        DES_m3        DES_m4       DES_AIA  DES_alphaIA  omk       ombh2       omch2            As        YHe     sigma8  s8omegamp5  s8omegamp25  minuslogprior  minuslogprior__0      chi2  chi2__des_y1.shear
      2     102.13744 1.3227117 0.92595472 80.875127 0.058061455 0.31277194   0.010489751  -0.018493989 -0.0029230244  -0.017415699    0.026477013   0.051548837   0.024347863   0.066931901    0.36290582    2.4350875    0 0.037976756  0.16617871 1.3227117e-09 0.25027707 0.72938409  0.40791547   0.54546041     -14.381726        -14.381726 233.03834           233.03834
      7     102.18122 1.2826832 0.92525504  75.56796 0.060099733  0.3316563   0.015510508  -0.019622848  0.0023948037 -0.0032707595   0.0099159183   0.067140306   0.035396289   0.027397801    0.34759286   -2.0268591    0 0.034320052  0.15470442 1.2826832e-09 0.24936053 0.69082459  0.39784318   0.52425171      -15.34345         -15.34345 235.04934           235.04934
      7     103.22475  1.487964 0.90177591  75.56796 0.060099733  0.3316563   0.024570921  -0.013524078    0.02518348  -0.032359469    0.022805828   0.038877733   0.016232832   0.062703691    0.65465633     3.661707    0 0.034320052  0.15470442  1.487964e-09 0.24936053 0.73646429  0.42412691   0.55888668     -13.999663        -13.999663 234.44883           234.44883
      3     99.640882 1.5906044 0.90761958 82.170652 0.057940232 0.30659672  -0.013044428  0.0022877976   0.015310286  -0.025900195    0.025381439  -0.029734096  -0.015316045    0.01952312     1.0834511    3.4368825    0 0.039121338  0.16745766 1.5906044e-09 0.25054895 0.79423823  0.43977905   0.59100705      -15.47342         -15.47342  230.2286            230.2286
     13     97.878338  1.481871  0.9184587 82.170652 0.057940232 0.30659672   0.011949974  -0.032891315   0.013503697 -0.0090941515   -0.025692033   0.011293361  0.0084275217  0.0090596829    0.75771999    3.3823224    0 0.039121338  0.16745766  1.481871e-09 0.25054895 0.77057963    0.426679   0.57340226     -17.473052        -17.473052 230.70278           230.70278
      5     98.084753 1.5209834 0.92179482 82.792226 0.057955059 0.30337495   0.016545136   -0.03457629   0.012522934  -0.028640914    0.018816873  0.0042314967   0.021421168   0.030231477    0.62337096   -1.6179075    0 0.039725601  0.16778214 1.5209834e-09 0.25067639 0.78143113  0.43040823   0.57994343     -17.914446        -17.914446  231.9984            231.9984
      2     96.938949 1.5248936 0.92129839 82.792226 0.057955059 0.30337495   0.004368147  -0.020278214   0.023499485  -0.001141657    0.023873352   0.001595048  0.0070124543    0.02842768     0.8182554   0.79108601    0 0.039725601  0.16778214 1.5248936e-09 0.25067639 0.78224812  0.43085822   0.58054977     -18.163154        -18.163154 230.20421           230.20421
      2     99.861562 1.4322015 0.95992906 82.792226 0.057955059 0.30337495 -0.0053032484  -0.033678409   0.034423032  0.0072027468     0.01587495   0.026584986  0.0064138893  0.0090714682    0.65290078    1.4811485    0 0.039725601  0.16778214 1.4322015e-09 0.25067639 0.77243565  0.42545357   0.57326739     -15.647345        -15.647345 231.01781           231.01781
      2     100.88181 1.3670333  0.9567725 82.792226 0.057955059 0.30337495  0.0081605995  -0.023834151   0.026599198 -0.0018175613    0.020633949  0.0095669483  -0.035526617   0.006711789    0.90863986    3.4879754    0 0.039725601  0.16778214 1.3670333e-09 0.25067639 0.75349462  0.41502094    0.5592102     -15.879884        -15.879884 233.52339           233.52339
      2     101.03056  1.401809 0.98540524 82.792226 0.057955059 0.30337495   0.014052161  -0.015128846   0.026722945  0.0086631467    0.039917167   0.041512099 -0.0047157814  -0.011107028    0.95019983    4.9185458    0 0.039725601  0.16778214  1.401809e-09 0.25067639 0.77382137  0.42621681   0.57429581     -15.052926        -15.052926 232.16696           232.16696
