#weight  minuslogpost      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck  calib_100T  calib_217T  A_cib_217   xi_sz_cib      A_sz   ksz_norm  gal545_A_100  gal545_A_143  gal545_A_143_217  gal545_A_217  ps_A_100_100  ps_A_143_143  ps_A_143_217  ps_A_217_217  galf_TE_A_100  galf_TE_A_100_143  galf_TE_A_100_217  galf_TE_A_143  galf_TE_A_143_217  galf_TE_A_217            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  minuslogprior  minuslogprior__0  minuslogprior__SZ      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE  chi2__planck_2018_lensing.clik
      4     1492.8745 3.0181292  0.9604703     1.0406009 0.022004883 0.12146199 0.041145938 0.99920685   1.0000046  0.99839098  66.903608 0.069194599 5.9815252  7.2080078     9.5531016      8.986403         24.165336     96.352134     214.31922      36.26166      28.94733     91.858701     0.14513984         0.16107015         0.24202657     0.24729556         0.90292213      2.9653575 2.0452993e-09 66.442211 0.32644651 0.14411201 0.67347165 0.24524561 0.24657158 2.6553479 6.3651551 0.80527901 0.98792584  0.46010017   0.60869451 2.0452993  1.883727 13.849821 147.11575      30.542514         25.581863          4.9606512 2924.6639                  23.788714                  396.79871                            2494.9608                       9.1157305
      7     1494.9873 3.0160076 0.96081741     1.0407098 0.022067829  0.1213473 0.039915004 0.99963194   1.0015427   0.9986191  71.664779  0.71122054 8.7680761  8.1994189     9.5024007     8.9740232         26.989341     95.753612     190.79435     35.987452     32.843799     71.062485    0.018841437         0.10129862         0.25892542     0.28300748         0.94082862      3.6024724 2.0409645e-09 66.569571 0.32508184 0.14406027 0.67483663 0.24527397 0.24660005 2.6432485 6.2124037 0.80401228 0.98542779  0.45841523   0.60710088 2.0409645  1.884368 13.839732 147.07568      46.047056         35.028913          11.018143 2897.8804                  23.677232                  397.20831                            2467.8266                       9.1682054
      3      1486.536 3.0105548 0.96188189     1.0408385 0.022130382 0.12086689 0.037304484 0.99989699   1.0011404  0.99959998  77.606073  0.62823063 7.8498481  9.2642809     9.0830352     7.7087931         25.000991     92.187117     246.80658     33.850106     26.957482     58.972678   -0.069484581        0.050167264         0.42611078     0.17896815         0.74713551      3.2511378 2.0298659e-09 66.829958 0.32161797 0.14364241 0.67830113 0.24530071 0.24662688  2.631252 5.8954733 0.80046505 0.97916703  0.45395471   0.60280584 2.0298659 1.8839314 13.827636 147.13232      49.087705          38.63227          10.455435 2874.8967                   23.41078                  398.13248                            2443.8326                       9.5208445
      5     1485.3467 3.0244138 0.96525318     1.0409346 0.022233923  0.1195428 0.045782686 0.99991988  0.99925696  0.99989191  81.249808  0.63263922 6.4105408  8.5418106     9.1513671     7.4289083         23.725496     88.192422     203.84086     36.814187     23.457396     53.877903   -0.086280562        0.078909247         0.37552665     0.16619332         0.74008692      3.2208597 2.0581936e-09 67.409515 0.31342545 0.14242186 0.68649504 0.24534358  0.2466699  2.611418 6.8085532 0.80235774 0.97725398  0.44919527   0.60034599 2.0581936 1.8781051 13.808858 147.36657      47.653353          40.83217          6.8211826 2875.3866                  22.941707                  395.98428                            2446.9534                       9.5071779
      3     1484.1584 3.0256282 0.96501772     1.0408576 0.022186338 0.11961495 0.046519302 0.99985416  0.99924177  0.99997305  82.081124  0.43810683 7.3615849  7.7239774     9.2633214     6.9371383         23.143223      87.62823     193.23958     35.179219     23.878122     55.668538   -0.052741646        0.042315101         0.34571042    0.087021171         0.69744183      3.1635504 2.0606946e-09 67.319271 0.31432053 0.14244642 0.68559974 0.24532395 0.24665021 2.6205324 6.8984389 0.80314471 0.97886793  0.45027743    0.6013634 2.0606946  1.877619 13.816271 147.40063      48.605153         41.029253          7.5758993 2871.1066                  22.973732                   395.9072                            2442.8293                       9.3962955
      4      1467.578 3.0269971 0.96340442     1.0408576 0.022186338 0.11961495 0.046519302  1.0006616  0.99947844  0.99993225  79.910249  0.59790932 6.7504927  6.6138683     9.3233774     6.7400096         22.907811      86.71411     227.68789     46.409304      31.14919     63.475875   -0.019265678        0.039626694          0.3204686     0.10515559         0.76090794      3.1347527 2.0635174e-09 67.319271 0.31432053 0.14244642 0.68559974 0.24532395 0.24665021 2.6205324 6.8984389 0.80320635 0.97894306  0.45031199   0.60140955 2.0635174  1.880191 13.816271 147.40063      43.408148         37.910498          5.4976503 2848.3397                  23.294883                   395.8836                            2419.8418                       9.3194902
      1      1447.859 3.0274083 0.96490062     1.0408105 0.022215811 0.11890238 0.047464354  1.0013164   1.0000481  0.99990885  63.480109  0.43590787 4.5193343  8.8160586     10.755711     8.0395487         20.920754     92.394691     242.42612       39.0869     25.413324     82.074804   -0.010742016      -0.0073042793         0.20035325     0.12411282         0.72520641      2.7584688  2.064366e-09 67.579027 0.31041309 0.14176332  0.6895078 0.24533611 0.24666241 2.6148868  6.983613 0.80127399 0.97470923  0.44642762   0.59808932  2.064366 1.8774125 13.811671 147.55702      45.792702         41.393867          4.3988355 2804.1327                  22.921161                  395.79586                            2375.4797                       9.9359651
      3     1435.1781 3.0427167 0.96854655      1.041269 0.022614637 0.11773351 0.055549662  1.0013849  0.99900681  0.99977731  49.046265  0.63417836 6.3468003  6.3070234     9.8352567     10.784113         26.553017     107.88869     224.44655     43.676567     36.958969     100.66269    0.045381715        0.023916759         0.20309509     0.16539735         0.73106081      2.5944288 2.0962113e-09 68.478552 0.30066945 0.14099329  0.6992535 0.24548807 0.24681492  2.541731 7.7167209 0.80319058 0.97060232  0.44041617   0.59475888 2.0962113 1.8757944 13.752655 147.42309      38.634492         33.924269          4.7102234 2793.0873                  22.678838                  396.12584                            2364.4597                        9.822914
      5     1430.5171 3.0392503 0.96651574     1.0412882 0.022463295 0.11861475   0.0531391   1.001255  0.99884075  0.99963692  45.915313  0.48143615 6.4400419   6.946617     11.366545      9.660934         24.743915     107.99583     214.05621     42.262981      33.63004     103.83191    0.055196423        0.042631761         0.32168437     0.18699312         0.77262676      2.8417903 2.0889576e-09  68.04525 0.30608727 0.14172318 0.69383469 0.24543456 0.24676122  2.568405 7.5202545 0.80490034 0.97576044  0.44531236   0.59869196 2.0889576 1.8783373 13.771196 147.35701      36.073483         30.718537          5.3549455 2788.8872                  22.951701                  395.86122                            2360.6523                       9.4219318
      2     1430.0083 3.0309162  0.9690967     1.0412882 0.022463295 0.11861475   0.0531391 0.99750218  0.99997854  0.99869753   57.85765 0.069060952 5.9748214 0.64079293     14.567848     7.8203673         17.429716     90.431867     245.60746     45.152329     31.380992     96.259444    0.086867111         0.04944468         0.46347121     0.25849956         0.81581314      2.3480697 2.0716203e-09  68.04525 0.30608727 0.14172318 0.69383469 0.24543456 0.24676122  2.568405 7.5202545 0.80234046 0.97265716   0.4438961    0.5967879 2.0716203 1.8627481 13.771196 147.35701      30.071413           28.0266          2.0448125 2799.8738                  22.391649                  395.81857                            2371.4236                       10.239966
