#weight  minuslogpost      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck  calib_100T  calib_217T  A_cib_217  xi_sz_cib      A_sz   ksz_norm  gal545_A_100  gal545_A_143  gal545_A_143_217  gal545_A_217  ps_A_100_100  ps_A_143_143  ps_A_143_217  ps_A_217_217  galf_TE_A_100  galf_TE_A_100_143  galf_TE_A_100_217  galf_TE_A_143  galf_TE_A_143_217  galf_TE_A_217            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  minuslogprior  minuslogprior__0  minuslogprior__SZ      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE  chi2__planck_2018_lensing.clik
      2     1657.1657 3.0694485  0.9613619     1.0406055 0.022516357 0.12177356  0.05435325 0.99980845  0.99945208  0.99728903  58.826364 0.68982489 7.1497651  5.1411398     10.194311     1.9824241         10.941878     51.587755      187.1364     26.713147     25.852414     109.10346    0.046517166         0.11047631         0.39722262     0.13040046         0.62194321      1.2156471 2.1530026e-09 66.758178 0.32521046 0.14493506 0.67470847 0.24545363 0.24678036 2.5589353 7.6805533 0.82536471  1.0101681   0.4706826    0.6232855 2.1530026 1.9312296 13.799114 146.46739      39.650561         34.847609          4.8029518 3235.0303                  26.299428                  396.24268                            2790.0591                         22.4291
      7     1576.5751 3.0731178 0.96344972     1.0407752  0.02255101 0.12094595 0.057019382  1.0013205  0.99873327  0.99771741  57.108187 0.27066374 6.4601192   3.168863     8.4967592     2.6552618         10.810429     59.522114     175.52994     22.972848      19.35248     108.57788    0.028912441         0.14192749         0.39684863     0.15353229         0.64113871      1.7378609 2.1609171e-09 67.128709 0.31987055  0.1441421 0.68004927  0.2454658 0.24679257 2.5528388 7.9293446 0.82479525  1.0066813  0.46648027   0.62028277 2.1609171 1.9280207 13.787319  146.6451      36.132537          33.22385          2.9086872  3080.885                  25.570966                  396.83073                            2639.6781                       18.805284
      2     1570.6902 3.0700374 0.96232199     1.0412332 0.022532571 0.12168137 0.054371922  1.0013316  0.99953311   0.9965498  48.717129 0.45633553 3.6236425  3.0061337     9.2233318     2.2083683          4.961778     57.793969     209.11887     32.883057     31.087366     132.58978   0.0041970995         0.11161813         0.29460882    0.077310938         0.79426671      1.5815446 2.1542708e-09 67.012908 0.32257358 0.14485908 0.67734597 0.24545934 0.24678609 2.5560761 7.6786495 0.82614253  1.0091965  0.46921229   0.62260439 2.1542708 1.9322951 13.778363 146.47344      43.555877         41.511411          2.0444658 3054.2687                  25.861679                  396.24033                            2612.3118                       19.854823
      1     1552.8162 3.0795178 0.96249347     1.0412361  0.02246242 0.12170593 0.059566809  1.0011108  0.99875433  0.99712443  45.018752 0.70496353  4.772511  2.0279162     7.0749751     5.6789168         11.215822     69.002659     179.58919     34.401369      38.41942     135.17999    0.013982478         0.11645879         0.38530963    0.069560785         0.81562867      1.8198853 2.1747912e-09 66.947196 0.32310541 0.14481349 0.67681397 0.24543424 0.24676089 2.5685629 8.2175338  0.8304964  1.0150129  0.47207377   0.62614341 2.1747912 1.9305386 13.785461  146.5443      34.085032         32.065988          2.0190438 3037.4624                  25.983066                  397.82612                            2591.3025                       22.350671
      1     1535.0891 3.0520068 0.97210809     1.0412361  0.02246242 0.12170593 0.059566809  0.9893814  0.99843458  0.99766084  36.099797 0.83517269 5.1048249 0.73991002     5.5803121     7.2708564         16.012316     80.646712     185.66694     35.539917     36.632279     132.91959    0.042260473         0.13139427         0.45567846     0.12024041         0.79757199      2.1308889 2.1157762e-09 66.947196 0.32310541 0.14481349 0.67681397 0.24543424 0.24676089 2.5685629 8.2175338 0.82212692  1.0047839  0.46731636   0.61983334 2.1157762 1.8781516 13.785461  146.5443       37.92947         35.892424          2.0370454 2994.3193                  23.248132                   397.5225                            2558.4682                       15.080467
      2      1528.521 3.0531812 0.97261713      1.041274 0.022482865 0.12150848 0.060330538 0.98941067  0.99887543    0.998721  38.655577 0.66764346 2.5512642  1.1198516     8.3535453      8.320959         15.827517     84.766246     232.00055     37.936464     27.107127     121.25794   0.0062006793         0.12904116         0.39098228     0.14226614         0.70765847      2.0536208 2.1182625e-09 67.044768 0.32177186 0.14463648 0.67814775 0.24544168 0.24676837  2.564889 8.2849184   0.822074  1.0039879  0.46632097   0.61915292 2.1182625 1.8774887 13.781501 146.57326       37.30343         34.259552          3.0438778 2982.4352                  23.175013                  397.72819                            2546.7427                       14.789261
      1     1518.5159 3.0419856 0.97107738     1.0411699 0.022426623 0.12201718 0.054036419 0.98972917  0.99951432  0.99791937  51.368797 0.92386159 3.8588872 0.55963713     11.153126     11.348533         15.975756      75.76064     228.37617     35.407031     33.192095     103.56096    0.079193686         0.19151512         0.39048174     0.22078337         0.66898019      2.2406284 2.0946795e-09 66.788661 0.32525865 0.14508894 0.67466035 0.24542085 0.24674746 2.5750794 7.6730452 0.81879171  1.0018947  0.46696879   0.61834471 2.0946795 1.8801051 13.792242 146.50267      32.429518         29.986881          2.4426369 2972.1728                  23.244496                   396.0566                            2538.8355                       14.036225
      1     1519.4778 3.0417353 0.97204016     1.0411039 0.022363354 0.12151415 0.054659759 0.98982645   0.9995022  0.99800341  53.362497 0.88056301 3.3494654 0.73960121     12.386077      8.877216         14.617084     76.427585     234.58283     37.625301     33.195988     101.47093    0.080413537         0.22537743         0.43681629     0.23845115         0.66939343      1.9992295 2.0941552e-09 66.886959 0.32303753 0.14452264 0.67688171 0.24539624 0.24672275 2.5868242 7.7429645 0.81755319 0.99964384  0.46466773   0.61635265 2.0941552 1.8772927 13.798687 146.70375      35.568598         32.908351          2.6602469 2967.8185                  22.993744                  396.21082                            2535.5726                        13.04135
      5     1513.0683 3.0437752 0.97004715     1.0411039 0.022363354 0.12151415 0.054659759 0.99059479  0.99933657  0.99794584  53.724228 0.67976484 3.8791328 0.39871281     12.100565      8.988581         15.048278     77.901717     226.76161     35.922739     32.107433     101.61242    0.082675211         0.21190603         0.44208611     0.22109534         0.69711079      2.1517978 2.0984313e-09 66.886959 0.32303753 0.14452264 0.67688171 0.24539624 0.24672275 2.5868242 7.7429645 0.81777201 0.99991139   0.4647921   0.61651761 2.0984313  1.881126 13.798687 146.70375      33.025318         30.542259          2.4830587  2960.086                  23.448806                  396.19547                            2527.1192                       13.322557
      1     1497.6076  3.043907 0.97012079     1.0411095 0.022365872  0.1214851 0.054751647 0.99117634  0.99900115  0.99766474  54.118241 0.90103238 3.5881604  1.4657288     12.125846     7.9700985         9.1254594     69.930615     196.90499      35.63946      43.06755     108.02958    0.053698696         0.16362396         0.46768166     0.23972981         0.69026098      2.1203058  2.098708e-09 66.900934 0.32284332 0.14449611 0.67707595 0.24539724 0.24672376  2.586352  7.751336 0.81774927 0.99977914  0.46463943   0.61640778  2.098708 1.8810284  13.79815 146.70856      33.635558          31.32585          2.3097082 2927.9441                  23.349407                  396.22724                            2495.4682                       12.899285
